Id,date,weight_kg_rounded,sleep_minutes,total_time_in_bed,time_in_bed_not_sleeping,TotalSteps,total_distance_rounded_km,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,activity_level_steps
8877689391,2016-05-09,85.5,,,,20226,18.25,3710,73,19,217,1131,Extremely High Activity
8877689391,2016-05-10,,,,,10733,8.15,2832,18,11,224,1187,High Activity
8877689391,2016-05-11,85.4,,,,21420,19.56,3832,88,12,213,1127,Extremely High Activity
8877689391,2016-05-12,84.0,,,,8064,6.12,1849,23,1,137,770,Ideal Activity
8792009665,2016-04-12,,458,493,35,2564,1.64,2044,0,0,116,831,Extremely Low Activity
8792009665,2016-04-13,,531,552,21,1320,0.84,1934,0,0,82,806,Extremely Low Activity
8792009665,2016-04-14,,486,503,17,1219,0.78,1963,0,0,84,853,Extremely Low Activity
8792009665,2016-04-15,,363,377,14,2483,1.59,2009,0,0,126,937,Extremely Low Activity
8792009665,2016-04-16,,,,,244,0.16,1721,0,0,12,1428,Sedentary
8792009665,2016-04-17,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-04-18,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-04-19,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-04-20,,528,547,19,3147,2.01,2188,0,10,139,744,Low Activity
8792009665,2016-04-21,,,,,144,0.09,1720,0,0,9,1431,Sedentary
8792009665,2016-04-22,,391,407,16,4068,2.6,2419,1,20,195,817,Low Activity
8792009665,2016-04-23,,339,360,21,5245,3.36,2748,8,45,232,795,Moderate Activity
8792009665,2016-04-24,,,,,400,0.26,1799,3,8,19,1410,Sedentary
8792009665,2016-04-25,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-04-26,,,,,1321,0.85,1928,0,0,80,1360,Extremely Low Activity
8792009665,2016-04-27,,423,428,5,1758,1.13,2067,0,0,112,900,Extremely Low Activity
8792009665,2016-04-28,,402,416,14,6157,3.94,2780,0,0,310,714,Moderate Activity
8792009665,2016-04-29,,398,406,8,8360,5.35,3101,6,14,380,634,Ideal Activity
8792009665,2016-04-30,,343,360,17,7174,4.59,2896,10,20,301,749,Ideal Activity
8792009665,2016-05-01,,503,527,24,1619,1.04,1962,0,0,79,834,Extremely Low Activity
8792009665,2016-05-02,,415,423,8,1831,1.17,2015,0,0,101,916,Extremely Low Activity
8792009665,2016-05-03,,516,545,29,2421,1.55,2297,0,0,156,739,Extremely Low Activity
8792009665,2016-05-04,,439,463,24,2283,1.46,2067,0,0,129,848,Extremely Low Activity
8792009665,2016-05-05,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-05-06,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-05-07,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-05-08,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-05-09,,,,,0,0.0,1688,0,0,0,1440,Sedentary
8792009665,2016-05-10,,,,,0,0.0,57,0,0,0,48,Sedentary
8583815059,2016-04-12,,,,,5014,3.91,2650,0,7,196,1237,Moderate Activity
8583815059,2016-04-13,,,,,5571,4.35,2654,2,23,163,1252,Moderate Activity
8583815059,2016-04-14,,,,,3135,2.45,2443,0,0,134,1306,Low Activity
8583815059,2016-04-15,,,,,3430,2.68,2505,0,0,65,1375,Low Activity
8583815059,2016-04-16,,,,,5319,4.15,2693,0,0,0,1440,Moderate Activity
8583815059,2016-04-17,,,,,3008,2.35,2439,0,0,0,1440,Low Activity
8583815059,2016-04-18,,,,,3864,3.01,2536,4,22,105,1309,Low Activity
8583815059,2016-04-19,,,,,5697,4.44,2668,7,10,166,1257,Moderate Activity
8583815059,2016-04-20,,,,,5273,4.11,2647,0,27,167,1246,Moderate Activity
8583815059,2016-04-21,,,,,8538,6.66,2883,35,18,158,1229,Ideal Activity
8583815059,2016-04-22,,,,,8687,6.78,2944,4,54,212,1170,Ideal Activity
8583815059,2016-04-23,,,,,9423,7.35,3012,7,44,238,1151,High Activity
8583815059,2016-04-24,,,,,8286,6.46,2889,2,44,206,1188,Ideal Activity
8583815059,2016-04-25,,,,,4503,3.51,2547,18,6,122,1294,Low Activity
8583815059,2016-04-26,,,,,10499,8.19,3093,1,91,214,1134,High Activity
8583815059,2016-04-27,,,,,12474,9.73,3142,77,5,129,1229,Extremely High Activity
8583815059,2016-04-28,,,,,6174,4.82,2757,0,28,203,1209,Moderate Activity
8583815059,2016-04-29,,,,,15168,11.83,3513,46,67,258,1069,Extremely High Activity
8583815059,2016-04-30,,,,,10085,7.87,3164,2,28,317,1093,High Activity
8583815059,2016-05-01,,,,,4512,3.52,2596,10,2,117,1311,Low Activity
8583815059,2016-05-02,,,,,8469,6.61,2894,0,0,0,1440,Ideal Activity
8583815059,2016-05-03,,,,,12015,9.37,3212,0,0,0,1440,Extremely High Activity
8583815059,2016-05-04,,,,,3588,2.8,2516,0,0,0,1440,Low Activity
8583815059,2016-05-05,,,,,12427,9.69,3266,0,0,70,1370,Extremely High Activity
8583815059,2016-05-06,,,,,5843,4.56,2683,2,22,166,1250,Moderate Activity
8583815059,2016-05-07,,,,,6117,4.77,2810,0,0,250,1190,Moderate Activity
8583815059,2016-05-08,,,,,9217,7.19,2940,3,72,182,1183,High Activity
8583815059,2016-05-09,,,,,9877,7.7,2947,66,4,110,1260,High Activity
8583815059,2016-05-10,,,,,8240,6.43,2846,9,43,162,1226,Ideal Activity
8583815059,2016-05-11,,,,,8701,6.79,2804,5,71,177,1106,Ideal Activity
8583815059,2016-05-12,,,,,0,0.0,0,0,0,0,1440,Sedentary
8378563200,2016-04-12,,338,356,18,7626,6.05,3635,65,15,156,723,Ideal Activity
8378563200,2016-04-13,,447,487,40,12386,9.82,4079,116,14,169,680,Extremely High Activity
8378563200,2016-04-14,,424,455,31,13318,10.56,4163,123,21,174,699,Extremely High Activity
8378563200,2016-04-15,,513,533,20,14461,11.47,3666,60,23,190,729,Extremely High Activity
8378563200,2016-04-16,,611,689,78,11207,8.89,3363,64,21,142,563,High Activity
8378563200,2016-04-17,,525,591,66,2132,1.69,2572,0,0,93,599,Extremely Low Activity
8378563200,2016-04-18,,398,451,53,13630,10.81,4157,117,10,174,720,Extremely High Activity
8378563200,2016-04-19,,387,421,34,13070,10.36,4092,120,19,154,737,Extremely High Activity
8378563200,2016-04-20,,381,409,28,9388,7.44,3787,82,8,169,763,High Activity
8378563200,2016-04-21,,396,417,21,15148,12.01,4236,137,16,145,677,Extremely High Activity
8378563200,2016-04-22,,441,469,28,12200,9.67,4044,113,12,159,769,Extremely High Activity
8378563200,2016-04-23,,565,591,26,5709,4.53,2908,19,10,136,740,Moderate Activity
8378563200,2016-04-24,,458,492,34,3703,2.94,2741,0,0,135,734,Low Activity
8378563200,2016-04-25,,388,402,14,12405,9.84,4005,117,16,141,692,Extremely High Activity
8378563200,2016-04-25,,388,402,14,12405,9.84,4005,117,16,141,692,Extremely High Activity
8378563200,2016-04-26,,550,584,34,16208,12.85,3763,90,18,161,593,Extremely High Activity
8378563200,2016-04-27,,531,600,69,7359,5.84,3061,4,4,192,676,Ideal Activity
8378563200,2016-04-28,,506,556,50,5417,4.3,2884,11,10,139,711,Moderate Activity
8378563200,2016-04-29,,527,562,35,6175,4.9,2982,3,7,172,767,Moderate Activity
8378563200,2016-04-30,,468,555,87,2946,2.34,2660,0,0,121,780,Extremely Low Activity
8378563200,2016-05-01,,475,539,64,11419,9.06,3369,71,10,127,669,High Activity
8378563200,2016-05-02,,351,385,34,6064,4.81,3491,63,4,142,802,Moderate Activity
8378563200,2016-05-03,,405,429,24,8712,6.91,3784,71,20,195,822,Ideal Activity
8378563200,2016-05-04,,441,477,36,7875,6.24,3110,19,10,167,680,Ideal Activity
8378563200,2016-05-05,,381,417,36,8567,6.79,3783,66,3,214,764,Ideal Activity
8378563200,2016-05-06,,323,355,32,7045,5.59,3644,74,5,166,831,Ideal Activity
8378563200,2016-05-07,,459,513,54,4468,3.54,2799,0,0,158,851,Low Activity
8378563200,2016-05-08,,545,606,61,2943,2.33,2685,0,0,139,621,Extremely Low Activity
8378563200,2016-05-09,,359,399,40,8382,6.65,3721,71,13,171,772,Ideal Activity
8378563200,2016-05-10,,342,391,49,6582,5.22,3586,63,13,152,840,Moderate Activity
8378563200,2016-05-11,,368,387,19,9143,7.25,3788,72,10,184,763,High Activity
8378563200,2016-05-12,,496,546,50,4561,3.62,1976,8,6,102,433,Low Activity
8253242879,2016-04-12,,,,,9033,7.16,2044,40,2,154,1244,High Activity
8253242879,2016-04-13,,,,,8053,6.1,1935,35,11,96,1298,Ideal Activity
8253242879,2016-04-14,,,,,5234,3.46,1705,29,16,33,1362,Moderate Activity
8253242879,2016-04-15,,,,,2672,1.77,1632,0,0,105,1335,Extremely Low Activity
8253242879,2016-04-16,,,,,9256,6.14,1880,6,51,115,1268,High Activity
8253242879,2016-04-17,,,,,10204,7.91,2112,41,5,157,1237,High Activity
8253242879,2016-04-18,,,,,5151,3.48,1829,16,16,130,1278,Moderate Activity
8253242879,2016-04-19,,,,,4212,2.78,1763,0,0,164,1276,Low Activity
8253242879,2016-04-20,,,,,6466,4.27,1931,5,18,216,1201,Moderate Activity
8253242879,2016-04-21,,,,,11268,8.56,2218,49,20,172,1199,High Activity
8253242879,2016-04-22,,,,,2824,1.87,1651,0,0,120,1320,Extremely Low Activity
8253242879,2016-04-23,,,,,9282,6.26,2132,30,26,191,1193,High Activity
8253242879,2016-04-24,,,,,8905,7.13,1976,41,4,82,1313,Ideal Activity
8253242879,2016-04-25,,,,,6829,4.51,1909,7,54,118,1261,Moderate Activity
8253242879,2016-04-26,,,,,4562,3.04,1813,19,14,108,1299,Low Activity
8253242879,2016-04-27,,,,,10232,8.18,2008,45,5,104,1286,High Activity
8253242879,2016-04-28,,,,,2718,1.8,1580,11,16,20,1393,Extremely Low Activity
8253242879,2016-04-29,,,,,6260,4.26,1854,16,14,136,1257,Moderate Activity
8253242879,2016-04-30,,,,,0,0.0,0,0,0,0,1440,Sedentary
8053475328,2016-04-12,,,,,18060,14.12,3186,116,8,123,1193,Extremely High Activity
8053475328,2016-04-13,,,,,16433,13.35,3140,95,12,156,1177,Extremely High Activity
8053475328,2016-04-14,,,,,20159,15.97,3411,119,5,193,1123,Extremely High Activity
8053475328,2016-04-15,,,,,20669,16.24,3410,132,8,158,1142,Extremely High Activity
8053475328,2016-04-16,,,,,14549,11.11,2867,96,6,83,1255,Extremely High Activity
8053475328,2016-04-17,,,,,18827,13.69,3213,111,21,195,1113,Extremely High Activity
8053475328,2016-04-18,,,,,17076,12.66,3133,102,6,195,1137,Extremely High Activity
8053475328,2016-04-19,,,,,15929,12.48,3114,90,7,191,1152,Extremely High Activity
8053475328,2016-04-20,,486,493,7,15108,12.19,3043,89,5,158,695,Extremely High Activity
8053475328,2016-04-21,,,,,16057,12.51,3103,100,6,170,1164,Extremely High Activity
8053475328,2016-04-22,,,,,10520,8.29,2655,60,3,117,1260,High Activity
8053475328,2016-04-23,,331,337,6,22359,17.19,3554,125,14,223,741,Extremely High Activity
8053475328,2016-04-24,,,,,22988,17.95,3577,129,33,182,1096,Extremely High Activity
8053475328,2016-04-25,,,,,20500,15.69,3403,118,9,209,1104,Extremely High Activity
8053475328,2016-04-26,,,,,12685,9.62,2846,68,5,185,1182,Extremely High Activity
8053475328,2016-04-27,,,,,12422,9.82,2852,60,10,183,1187,Extremely High Activity
8053475328,2016-04-28,,,,,15447,12.4,3062,90,9,153,1188,Extremely High Activity
8053475328,2016-04-29,,,,,12315,9.65,2794,58,8,159,1215,Extremely High Activity
8053475328,2016-04-30,,,,,7135,5.59,2408,27,1,131,1281,Ideal Activity
8053475328,2016-05-01,,,,,1170,0.85,1886,0,0,51,1389,Extremely Low Activity
8053475328,2016-05-02,,,,,1969,1.43,1988,0,0,95,1345,Extremely Low Activity
8053475328,2016-05-03,,,,,15484,11.9,3023,87,22,165,1166,Extremely High Activity
8053475328,2016-05-04,,,,,14581,11.15,2918,89,8,123,1220,Extremely High Activity
8053475328,2016-05-05,,,,,14990,11.51,2950,93,9,130,1208,Extremely High Activity
8053475328,2016-05-06,,,,,13953,11.0,2859,90,15,90,1245,Extremely High Activity
8053475328,2016-05-07,,74,75,1,19769,15.67,3331,121,20,148,1076,Extremely High Activity
8053475328,2016-05-08,,,,,22026,17.65,3589,125,14,228,1073,Extremely High Activity
8053475328,2016-05-09,,,,,12465,9.38,2765,66,12,148,1214,Extremely High Activity
8053475328,2016-05-10,,,,,14810,11.36,2926,96,10,115,1219,Extremely High Activity
8053475328,2016-05-11,,,,,12209,9.4,2809,60,7,184,1189,Extremely High Activity
8053475328,2016-05-12,,,,,4998,3.91,1505,28,4,39,839,Low Activity
7086361926,2016-04-12,,514,525,11,11317,8.41,2772,59,6,153,745,High Activity
7086361926,2016-04-13,,451,465,14,5813,3.62,2516,31,26,155,744,Moderate Activity
7086361926,2016-04-14,,472,476,4,9123,6.12,2734,35,32,189,787,High Activity
7086361926,2016-04-15,,377,386,9,8585,5.67,2395,30,21,139,864,Ideal Activity
7086361926,2016-04-16,,,,,31,0.01,1635,0,0,3,1437,Sedentary
7086361926,2016-04-17,,,,,0,0.0,1629,0,0,0,1440,Sedentary
7086361926,2016-04-18,,,,,9827,6.71,2743,61,51,114,1136,High Activity
7086361926,2016-04-19,,472,483,11,10688,7.29,2944,67,69,124,671,High Activity
7086361926,2016-04-20,,492,502,10,14365,10.64,2997,87,13,145,797,Extremely High Activity
7086361926,2016-04-21,,390,411,21,9469,6.18,2463,19,6,206,758,High Activity
7086361926,2016-04-22,,428,448,20,9753,6.53,2846,58,59,153,762,High Activity
7086361926,2016-04-23,,,,,2817,1.81,1965,0,0,90,1350,Extremely Low Activity
7086361926,2016-04-24,,681,704,23,3520,2.16,2049,0,0,125,566,Low Activity
7086361926,2016-04-25,,446,447,1,10091,6.82,2752,69,39,129,706,High Activity
7086361926,2016-04-26,,485,500,15,10387,7.07,2781,70,33,132,726,High Activity
7086361926,2016-04-27,,469,479,10,11107,8.34,2693,55,6,145,829,High Activity
7086361926,2016-04-28,,354,367,13,11584,7.8,2862,54,48,161,810,High Activity
7086361926,2016-04-29,,,,,7881,4.95,2616,24,36,182,1198,Ideal Activity
7086361926,2016-04-30,,485,489,4,14560,9.41,2995,42,17,308,584,Extremely High Activity
7086361926,2016-05-01,,388,407,19,12390,8.07,2730,30,15,258,685,Extremely High Activity
7086361926,2016-05-02,,440,459,19,10052,6.81,2754,66,26,139,737,High Activity
7086361926,2016-05-03,,456,461,5,10288,6.76,2754,57,36,152,761,High Activity
7086361926,2016-05-04,,420,436,16,10988,8.31,2655,45,12,135,843,High Activity
7086361926,2016-05-05,,,,,8564,5.6,2386,24,14,149,1253,Ideal Activity
7086361926,2016-05-06,,322,333,11,12461,8.38,2924,84,35,154,834,Extremely High Activity
7086361926,2016-05-07,,530,548,18,12827,8.48,2739,20,42,209,621,Extremely High Activity
7086361926,2016-05-08,,481,510,29,10677,7.1,2534,32,27,147,695,High Activity
7086361926,2016-05-09,,427,438,11,13566,9.11,2960,67,50,171,743,Extremely High Activity
7086361926,2016-05-10,,,,,14433,10.79,2800,72,23,106,1182,Extremely High Activity
7086361926,2016-05-11,,451,463,12,9572,6.52,2735,57,40,128,757,High Activity
7086361926,2016-05-12,,444,457,13,3789,2.56,1199,5,4,58,343,Low Activity
7007744171,2016-04-12,,,,,14172,10.29,2937,53,8,355,1024,Extremely High Activity
7007744171,2016-04-13,,,,,12862,9.65,2742,56,22,261,1101,Extremely High Activity
7007744171,2016-04-14,,,,,11179,8.24,2668,34,6,304,1096,High Activity
7007744171,2016-04-15,,,,,5273,3.53,2098,0,0,202,1238,Moderate Activity
7007744171,2016-04-16,,79,82,3,4631,3.1,2076,0,0,203,1155,Low Activity
7007744171,2016-04-17,,,,,8059,5.39,2383,0,0,305,1135,Ideal Activity
7007744171,2016-04-18,,,,,14816,10.98,2832,48,31,284,1077,Extremely High Activity
7007744171,2016-04-19,,,,,14194,10.48,2812,53,17,304,1066,Extremely High Activity
7007744171,2016-04-20,,,,,15566,11.31,3096,60,33,347,1000,Extremely High Activity
7007744171,2016-04-21,,,,,13744,9.19,2763,30,34,327,1049,Extremely High Activity
7007744171,2016-04-22,,,,,15299,10.24,2889,64,50,261,1065,Extremely High Activity
7007744171,2016-04-23,,,,,8093,5.41,2284,2,25,223,1190,Ideal Activity
7007744171,2016-04-24,,,,,11085,7.42,2667,0,0,419,1021,High Activity
7007744171,2016-04-25,,,,,18229,13.34,3055,51,24,379,986,Extremely High Activity
7007744171,2016-04-26,,,,,15090,10.1,2939,16,22,424,978,Extremely High Activity
7007744171,2016-04-27,,,,,13541,10.22,2830,50,12,337,1041,Extremely High Activity
7007744171,2016-04-28,,,,,15128,10.12,2836,16,16,401,1007,Extremely High Activity
7007744171,2016-04-29,,,,,20067,14.3,3180,55,42,382,961,Extremely High Activity
7007744171,2016-04-30,,,,,3761,2.52,2051,0,0,200,1240,Low Activity
7007744171,2016-05-01,,58,61,3,5600,3.75,2225,0,0,237,1142,Moderate Activity
7007744171,2016-05-02,,,,,13041,9.18,2642,64,14,250,1112,Extremely High Activity
7007744171,2016-05-03,,,,,14510,10.87,2976,58,31,330,1021,Extremely High Activity
7007744171,2016-05-04,,,,,0,0.0,1557,0,0,0,1440,Sedentary
7007744171,2016-05-05,,,,,15010,11.1,2933,53,23,317,1047,Extremely High Activity
7007744171,2016-05-06,,,,,11459,7.67,2553,44,13,247,1136,High Activity
7007744171,2016-05-07,,,,,0,0.0,120,0,0,0,111,Sedentary
6962181067,2016-04-12,62.5,366,387,21,10199,6.74,1994,50,14,189,796,High Activity
6962181067,2016-04-13,62.1,630,679,49,5652,3.74,1718,8,24,142,548,Moderate Activity
6962181067,2016-04-14,61.7,508,535,27,1551,1.03,1466,0,0,86,862,Extremely Low Activity
6962181067,2016-04-15,61.5,370,386,16,5563,3.68,1756,0,0,217,837,Moderate Activity
6962181067,2016-04-16,62.0,357,366,9,13217,8.74,2173,50,3,280,741,Extremely High Activity
6962181067,2016-04-17,61.4,427,446,19,10145,6.71,2027,5,13,295,634,High Activity
6962181067,2016-04-18,61.2,442,458,16,11404,7.54,2039,13,42,238,689,High Activity
6962181067,2016-04-19,61.4,476,535,59,10742,7.1,2046,35,41,195,659,High Activity
6962181067,2016-04-20,61.7,418,424,6,13928,9.55,2174,48,4,297,639,Extremely High Activity
6962181067,2016-04-21,61.4,451,457,6,11835,9.71,2179,53,27,214,708,High Activity
6962181067,2016-04-22,61.4,425,435,10,10725,7.09,2086,30,33,240,659,High Activity
6962181067,2016-04-23,61.5,528,546,18,20031,13.24,2571,58,41,347,484,Extremely High Activity
6962181067,2016-04-24,61.5,511,514,3,5029,3.32,1705,0,0,199,720,Moderate Activity
6962181067,2016-04-25,61.7,400,415,15,13239,9.27,2194,35,31,282,637,Extremely High Activity
6962181067,2016-04-26,,441,446,5,10433,6.9,2012,36,7,254,680,High Activity
6962181067,2016-04-27,61.2,455,467,12,10320,6.82,2034,7,38,279,697,High Activity
6962181067,2016-04-28,61.2,440,453,13,12627,8.35,2182,38,8,288,621,Extremely High Activity
6962181067,2016-04-29,61.4,433,447,14,10762,7.11,2254,12,15,369,645,High Activity
6962181067,2016-04-30,61.0,422,424,2,10081,6.66,2002,32,16,237,731,High Activity
6962181067,2016-05-01,61.7,411,426,15,5454,3.61,1740,0,0,215,722,Moderate Activity
6962181067,2016-05-02,61.5,466,482,16,12912,8.54,2162,18,39,313,655,Extremely High Activity
6962181067,2016-05-03,61.0,394,418,24,12109,8.12,2072,21,36,267,654,Extremely High Activity
6962181067,2016-05-04,61.1,442,455,13,10147,6.71,2086,15,36,284,683,High Activity
6962181067,2016-05-05,61.3,467,491,24,10524,6.96,2066,14,22,305,591,High Activity
6962181067,2016-05-06,61.5,443,462,19,5908,3.91,1850,0,0,299,717,Moderate Activity
6962181067,2016-05-07,61.2,298,334,36,6815,4.5,1947,0,0,328,745,Moderate Activity
6962181067,2016-05-08,61.2,541,569,28,4188,2.77,1659,0,14,151,709,Low Activity
6962181067,2016-05-09,62.4,489,497,8,12342,8.72,2105,43,21,231,607,Extremely High Activity
6962181067,2016-05-10,62.1,469,481,12,15448,10.21,2361,62,34,275,626,Extremely High Activity
6962181067,2016-05-11,61.9,452,480,28,6722,4.44,1855,24,7,199,709,Moderate Activity
6962181067,2016-05-12,61.9,516,535,19,3587,2.37,928,0,8,105,127,Low Activity
6775888955,2016-04-12,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-04-13,,235,260,25,4053,2.91,2400,17,18,85,1053,Low Activity
6775888955,2016-04-14,,423,441,18,5162,3.7,2507,14,24,105,863,Moderate Activity
6775888955,2016-04-15,,391,406,15,1282,0.92,2127,0,0,58,976,Extremely Low Activity
6775888955,2016-04-16,,,,,4732,3.39,2225,36,18,9,1377,Low Activity
6775888955,2016-04-17,,,,,2497,1.79,2067,5,24,19,1392,Extremely Low Activity
6775888955,2016-04-18,,,,,8294,5.95,2798,30,31,146,1233,Ideal Activity
6775888955,2016-04-19,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-04-20,,,,,10771,7.72,3727,70,113,178,1079,High Activity
6775888955,2016-04-21,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-04-22,,,,,637,0.46,1922,0,0,20,1420,Sedentary
6775888955,2016-04-23,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-04-24,,,,,2153,1.54,2053,11,18,11,1400,Extremely Low Activity
6775888955,2016-04-25,,,,,6474,4.64,2484,33,13,92,1302,Moderate Activity
6775888955,2016-04-26,,,,,7091,5.27,2584,42,30,47,1321,Ideal Activity
6775888955,2016-04-27,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-04-28,,,,,703,0.5,1993,2,13,15,1410,Sedentary
6775888955,2016-04-29,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-04-30,,,,,2503,1.79,2280,3,9,84,1344,Extremely Low Activity
6775888955,2016-05-01,,,,,2487,1.78,2319,9,34,50,1347,Extremely Low Activity
6775888955,2016-05-02,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-05-03,,,,,9,0.01,1843,0,0,1,1439,Sedentary
6775888955,2016-05-04,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-05-05,,,,,0,0.0,1841,0,0,0,1440,Sedentary
6775888955,2016-05-06,,,,,4697,3.37,2496,12,35,75,1318,Low Activity
6775888955,2016-05-07,,,,,1967,1.41,1032,2,5,49,551,Extremely Low Activity
6290855005,2016-04-12,,,,,4562,3.45,2560,0,0,199,1241,Low Activity
6290855005,2016-04-13,,,,,7142,5.4,2905,0,0,350,1090,Ideal Activity
6290855005,2016-04-14,,,,,7671,5.8,2952,0,0,363,1077,Ideal Activity
6290855005,2016-04-15,,,,,9501,7.18,2896,0,0,328,1112,High Activity
6290855005,2016-04-16,,,,,8301,6.28,2783,0,0,258,1182,Ideal Activity
6290855005,2016-04-17,,,,,7851,5.94,3171,31,12,225,1172,Ideal Activity
6290855005,2016-04-18,,,,,6885,5.21,2766,0,0,271,1169,Moderate Activity
6290855005,2016-04-19,,,,,7142,5.4,2839,0,0,321,1119,Ideal Activity
6290855005,2016-04-20,,,,,6361,4.81,2701,0,0,258,1182,Moderate Activity
6290855005,2016-04-21,,,,,0,0.0,2060,0,0,0,1440,Sedentary
6290855005,2016-04-22,,,,,6238,4.72,2796,0,0,302,1138,Moderate Activity
6290855005,2016-04-23,,,,,0,0.0,2664,33,0,0,1407,Sedentary
6290855005,2016-04-24,,,,,5896,4.46,2703,0,0,258,1182,Moderate Activity
6290855005,2016-04-25,,,,,7802,5.9,2771,8,3,249,1180,Ideal Activity
6290855005,2016-04-26,,,,,0,0.0,2060,0,0,0,1440,Sedentary
6290855005,2016-04-27,,,,,5565,4.21,2743,0,0,287,1153,Moderate Activity
6290855005,2016-04-28,,,,,5731,4.33,2687,0,0,255,1185,Moderate Activity
6290855005,2016-04-29,,,,,0,0.0,2060,0,0,0,1440,Sedentary
6290855005,2016-04-30,,,,,6744,5.1,2843,0,0,324,1116,Moderate Activity
6290855005,2016-05-01,,,,,9837,7.44,3327,8,95,282,1055,High Activity
6290855005,2016-05-02,,,,,6781,5.13,2725,0,0,268,1172,Moderate Activity
6290855005,2016-05-03,,,,,6047,4.57,2671,0,0,240,1200,Moderate Activity
6290855005,2016-05-04,,,,,5832,4.41,2718,0,0,272,1168,Moderate Activity
6290855005,2016-05-05,,,,,6339,4.79,2682,0,0,239,1201,Moderate Activity
6290855005,2016-05-06,,,,,6116,4.62,2806,0,0,305,1135,Moderate Activity
6290855005,2016-05-07,,,,,5510,4.17,2613,0,0,227,1213,Moderate Activity
6290855005,2016-05-08,,,,,7706,5.83,2712,0,0,251,1189,Ideal Activity
6290855005,2016-05-09,,,,,6277,4.75,2175,0,0,264,800,Moderate Activity
